Time	u_1	var_u1	
3.38	-3.0221	1	
3.39	-0.089184	1	
3.4	-1.934	1	
3.41	-0.79618	1	
3.42	-0.38199	1	
3.43	0.19609	1	
3.44	-0.82992	1	
3.45	1.0142	1	
3.46	-1.0482	1	
3.47	-0.24492	1	
3.48	0.087161	1	
3.49	-0.4975	1	
3.5	0.29317	1	
3.51	-0.26964	1	
3.52	-1.3821	1	
3.53	-2.4083	1	
3.54	1.2507	1	
3.55	-1.2174	1	
3.56	-0.5145	1	
3.57	-0.059621	1	
3.58	-0.51409	1	
3.59	-1.5373	1	
3.6	-1.1051	1	
3.61	-0.76714	1	
3.62	0.8319	1	
3.63	-1.5126	1	
3.64	0.12808	1	
3.65	-0.35269	1	
3.66	-0.89987	1	
3.67	-1.7277	1	
3.68	-0.95947	1	
3.69	-0.76664	1	
3.7	-2.1539	1	
3.71	-0.49693	1	
3.72	-1.5159	1	
3.73	-0.79241	1	
3.74	-0.36644	1	
3.75	-1.6118	1	
3.76	-0.99979	1	
3.77	-0.36587	1	
3.78	-2.5562	1	
3.79	0.31132	1	
3.8	1.6955	1	
3.81	0.22615	1	
3.82	-1.0533	1	
3.83	-0.31312	1	
3.84	-1.7819	1	
3.85	1.1278	1	
3.86	0.18645	1	
3.87	0.028984	1	
3.88	-1.6383	1	
3.89	-0.44654	1	
3.9	-1.3288	1	
3.91	-1.0859	1	
3.92	-1.3485	1	
3.93	-1.8081	1	
3.94	-1.695	1	
3.95	-1.0001	1	
3.96	-2.4929	1	
3.97	-0.19019	1	
3.98	-0.91937	1	
3.99	-0.10615	1	
4	-0.53937	1	
4.01	-0.31841	1	
4.02	-2.2995	1	
4.03	-1.8402	1	
4.04	-1.2705	1	
4.05	-0.71742	1	
4.06	0.29814	1	
4.07	-1.124	1	
4.08	0.42402	1	
4.09	-0.36552	1	
4.1	0.32979	1	
4.11	-0.72073	1	
4.12	-1.5078	1	
4.13	-2.3357	1	
4.14	-0.70204	1	
4.15	-0.042191	1	
4.16	-1.1565	1	
4.17	-1.4079	1	
4.18	-1.1788	1	
4.19	-1.9699	1	
4.2	-1.3693	1	
4.21	-1.0601	1	
4.22	-0.83645	1	
4.23	-0.94901	1	
4.24	-0.2768	1	
4.25	-0.78169	1	
4.26	0.92017	1	
4.27	-0.58462	1	
4.28	0.90509	1	
4.29	-1.6253	1	
4.3	-0.37828	1	
4.31	-1.1677	1	
4.32	-0.30996	1	
4.33	-0.31876	1	
4.34	-3.1013	1	
4.35	-2.2448	1	
4.36	-2.3612	1	
4.37	-0.52083	1	
4.38	0.54512	1	
4.39	-1.2543	1	
4.4	-0.11745	1	
4.41	-0.38653	1	
4.42	-1.986	1	
4.43	-0.53908	1	
4.44	-1.6906	1	
4.45	0.57539	1	
4.46	-0.97556	1	
4.47	0.69094	1	
4.48	-1.3722	1	
4.49	-0.35966	1	
4.5	-1.0138	1	
4.51	-2.9749	1	
4.52	-1.937	1	
4.53	-0.3442	1	
4.54	-1.0134	1	
4.55	-2.079	1	
4.56	-1.5884	1	
4.57	-0.71421	1	
4.58	-1.9584	1	
4.59	0.0079487	1	
4.6	-1.6093	1	
4.61	0.83874	1	
4.62	-2.0515	1	
4.63	-0.77391	1	
4.64	-2.4956	1	
